player_name	position	min_played	country
María Pilar León Cebrián	Left Center Back	390	Spain
Leah Williamson	Left Center Back	600	England
Sakina Karchaoui	Left Back	414	France
Svenja Huth	Right Wing	541	German
Millie Bright	Right Center Back	556	England
Lucy Bronze	Right Back	583	England
Wendie Renard	Left Center Back	480	France
Irene Paredes Hernandez	Right Center Back	390	Spain
Keira Walsh	Left Defensive Midfield	595	England
Svenja Huth	Left Wing	541	German
Fridolina Rolfö	Left Wing	430	Sweden
Felicitas Rauch	Left Back	442	German
Ona Batlle Pascual	Right Back	390	Spain
Sherida Spitse	Right Defensive Midfield	375	Holand
Lynn Wilms	Right Back	384	Holand
Rachel Daly	Left Back	489	England
Delphine Cascarino	Right Wing	380	France
Eve Perisset	Right Back	375	France
Marina Hegering	Left Center Back	497	German
Ingrid Filippa Angeldal	Right Defensive Midfield	339	Sweden
María Francesca Caldentey Oliver	Left Wing	362	Spain
Lisa Boattin	Left Back	270	Italy
Kosovare Asllani	Center Attacking Midfield	450	Sweden
Patricia Guijarro Gutiérrez	Center Defensive Midfield	390	Spain
Kathrin Julia Hendrich	Right Center Back	525	German
Giulia Gwinn	Right Back	525	German
Aitana Bonmati Conca	Right Center Midfield	378	Spain
Alessia Russo	Center Forward	268	England
Magdalena Lilly Eriksson	Left Center Back	414	Sweden
Griedge Mbock Bathy Nka	Right Center Back	300	France
Barbara Dunst	Left Midfield	360	Austria
Laura De Neve	Left Center Back	249	Belgium
Gun Nathalie Björn	Left Defensive Midfield	437	Sweden
Marie-Antoinette Katoto	Center Forward	92	France
Sara Gama	Right Center Back	147	Italy
Tessa Wullaert	Left Wing	359	Belgium
Hanna Erica Maria Glas	Right Back	360	Sweden
Clara Mateo	Left Center Midfield	218	France
Verena Hanshaw	Left Back	360	Austria
Carina Wenninger	Right Center Back	360	Austria
Stephanie van der Gragt	Right Center Back	360	Holand
Katrine Veje	Left Center Back	259	Denmark
Valentina Bergamaschi	Right Midfield	259	Italy
Linda Brigitta Sembrant	Right Center Back	201	Sweden
Ingrid Syrstad Engen	Left Defensive Midfield	270	Norway
Flaminia Simonetti	Right Defensive Midfield	202	Italy
Dominique Johanna Anna Petrone Janssen	Left Center Back	360	Holand
Andreia Alexandra Norton	Left Center Midfield	263	Portugal
Patricia Guijarro Gutiérrez	Left Center Midfield	390	Spain
María Francesca Caldentey Oliver	Left Midfield	362	Spain
