player_name;position;min_played;club;nationality
Leah Williamson;Right Center Back;1674;Arsenal;England
Magdalena Lilly Eriksson;Left Center Back;1715;Chelsea;Sweden
Millie Bright;Right Center Back;1819;Chelsea;England
Lucy Bronze;Right Back;1525;Manchester City;England
Stephanie Houghton;Right Center Back;1415;Manchester City;England
Alex Greenwood;Left Center Back;1556;Manchester City;England
Katie McCabe;Left Back;1735;Arsenal;Irleand
Keira Walsh;Center Defensive Midfield;1776;Manchester City;England
Emma Mukandi;Left Back;1204;Reading;Scotland
Jonna Ann-Charlotte Andersson;Left Back;1563;Chelsea;Sweden
Ingrid Moe Wold;Right Back;1719;Everton;Norway
Megan Finnigan;Right Center Back;1935;Everton;England
Ona Batlle Pascual;Left Back;1632;Manchester United;Spain
Samantha June Mewis;Right Center Midfield;1147;Manchester City;USA
Molly Bartrip;Left Center Back;1817;Reading;England
Millie Turner;Left Center Back;1980;Manchester United;England
Abbie McManus;Right Center Back;900;Tottenham;England
Maren N?vdal Mjelde;Right Back;1214;Chelsea;Norway
Deanna Cooper;Right Center Back;1737;Reading;England
Caroline Weir;Left Center Midfield;1440;Chelsea;Scotland
Pernille Mosegaard Harder;Center Attacking Midfield;1286;Chelsea;Denmark
Lauren Hemp;Left Wing;1057;Manchester City;England
Carlotte Wubben-Moy;Left Center Back;1123;Arsenal;England
Shelina Laura Zadorsky;Left Center Back;1800;Tottenham;Canada
Maya Le Tissier;Right Back;1977;Brighton;England
So-Yun Ji;Left Center Midfield;1307;Chelsea;South Korea
Siri Worm;Left Back;1024;Tottenham;Holand
Lia Wälti;Center Defensive Midfield;1567;Arsenal;Switzerland
Ashleigh Neville;Right Back;1012;Tottenham;England
Amy Turner;Right Center Back;1774;Manchester United;England
Vivianne Miedema;Center Forward;1862;Arsenal;Holand
Alex Greenwood;Left Back;1556;Manchester City;England
Gilly Louise Scarlett Flaherty;Right Center Back;1833;West Ham United;England
Ona Batlle Pascual;Right Back;1632;Manchester United;Spain
Felicity Gibbons;Left Back;1086;Brighton;England
Danielle van de Donk;Right Center Midfield;1259;Arsenal;Holand
Rikke L?ntver Sevecke;Left Center Back;1666;Everton;Denmark
Danique Kerkdijk;Right Center Back;1516;Brighton;Holand
Elisha N'Dow;Right Center Back;1571;Aston Villa;England
Demi Stokes;Left Back;731;Manchester City;England
Sophie Louise Ingle;Left Defensive Midfield;1226;Chelsea;Wales
Jennifer Patricia Beattie;Left Center Back;589;Arsenal;Scotland
Kit Graham;Center Attacking Midfield;1104;Tottenham;England
Erin Cuthbert;Left Center Midfield;1223;Chelsea;Scotland
Danielle Turner;Left Back;1129;Everton;England
Jemma Elizabeth Purfield;Left Back;1890;Bristol City;England
Laura Vetterlein;Left Center Back;1327;West Ham United;Germany
Grace Fisk;Right Center Back;1980;West Ham UnitedGermany;
Ella Toone;Center Attacking Midfield;1776;Manchester United;England
Kristine Leine;Right Back;1175;Reading;Norway
